Imprint,Product ID,Full Title,ISSN,Change History,Journal title,OA model,Currency,Price,freedom_collection
Academic Press,12611,The Journal of Chemical Thermodynamics,0021-9614,NA,The Journal of Chemical Thermodynamics,Hybrid,USD,2600,Freedom Collection
Academic Press,12056,Journal of Colloid and Interface Science,0021-9797,Formerly known as Journal of Colloid Science,Journal of Colloid And Interface Science,Hybrid,USD,3300,Freedom Collection
Academic Press,12060,"Journal of Combinatorial Theory, Series A",0097-3165,Formerly part of Journal of Combinatorial Theory,"Journal of Combinatorial Theory, Series A",Hybrid,USD,1500,Freedom Collection
Academic Press,12061,"Journal of Combinatorial Theory, Series B",0095-8956,Formerly part of Journal of Combinatorial Theory,"Journal of Combinatorial Theory, Series B",Hybrid,USD,1500,Freedom Collection
Academic Press,12055,Journal of Comparative Economics,0147-5967,NA,Journal of Comparative Economics,Hybrid,USD,3000,Freedom Collection
Academic Press,12057,Journal of Complexity,0885-064X,NA,Journal of Complexity,Hybrid,USD,2400,Freedom Collection
Academic Press,12058,Journal of Computational Physics,0021-9991,NA,Journal of Computational Physics,Hybrid,USD,2800,Freedom Collection
Academic Press,12059,Journal of Computer and System Sciences,0022-0000,NA,Journal of Computer and System Sciences,Hybrid,USD,2400,Freedom Collection
Academic Press,12062,Journal of Differential Equations,0022-0396,NA,Journal of Differential Equations,Hybrid,USD,1500,Freedom Collection
Academic Press,12066,Journal of Economic Theory,0022-0531,NA,Journal of Economic Theory,Hybrid,USD,1800,Freedom Collection
Academic Press,12064,Journal of Environmental Economics and Management,0095-0696,NA,Journal of Environmental Economics and Management,Hybrid,USD,1800,Freedom Collection
Academic Press,12642,Journal of Environmental Management,0301-4797,Incorporating Advances in Environmental Research,Journal of Environmental Management,Hybrid,USD,3400,Freedom Collection
Academic Press,12640,Journal of Environmental Psychology,0272-4944,NA,Journal of Environmental Psychology,Hybrid,USD,1800,Freedom Collection
Academic Press,12063,Journal of Experimental Child Psychology,0022-0965,NA,Journal of Experimental Child Psychology,Hybrid,USD,2500,Freedom Collection
Academic Press,12065,Journal of Experimental Social Psychology,0022-1031,NA,NA,NA,NA,NA,Freedom Collection
Academic Press,12069,Journal of Financial Intermediation,1042-9573,NA,Journal of Financial Intermediation,Hybrid,USD,1800,Freedom Collection
Academic Press,12662,Journal of Fluids and Structures,0889-9746,NA,Journal of Fluids and Structures,Hybrid,USD,2500,Freedom Collection
Academic Press,12068,Journal of Food Composition and Analysis,0889-1575,NA,Journal of Food Composition and Analysis,Hybrid,USD,3000,Freedom Collection
Academic Press,12067,Journal of Functional Analysis,0022-1236,NA,Journal of Functional Analysis,Hybrid,USD,1500,Freedom Collection
Academic Press,12647,Journal of Historical Geography,0305-7488,NA,Journal of Historical Geography,Hybrid,USD,750,Freedom Collection
Academic Press,12070,Journal of Housing Economics,1051-1377,NA,Journal of Housing Economics,Hybrid,USD,1800,Freedom Collection
Academic Press,12624,Journal of Human Evolution,0047-2484,NA,Journal of Human Evolution,Hybrid,USD,3000,Freedom Collection
Academic Press,12071,Journal of Invertebrate Pathology,0022-2011,NA,Journal of Invertebrate Pathology,Hybrid,USD,3000,Freedom Collection
Academic Press,12072,Journal of the Japanese and International Economies,0889-1583,NA,Journal of The Japanese and International Economies,Hybrid,USD,1800,Freedom Collection
Academic Press,12076,Journal of Magnetic Resonance,1090-7807,"Incorporating Journal of Magnetic Resonance, Series A and Journal of Magnetic Resonance, Series B",Journal of Magnetic Resonance,Hybrid,USD,3100,Freedom Collection
Academic Press,12073,Journal of Mathematical Analysis and Applications,0022-247X,NA,Journal of Mathematical Analysis and Applications,Hybrid,USD,1500,Freedom Collection
Academic Press,12075,Journal of Mathematical Psychology,0022-2496,NA,Journal of Mathematical Psychology,Hybrid,USD,1800,Freedom Collection
Academic Press,12074,Journal of Memory and Language,0749-596X,Formerly known as Journal of Verbal Learning and Verbal Behavior,Journal of Memory and Language,Hybrid,USD,1950,Freedom Collection
Academic Press,12615,Journal of Molecular Biology,0022-2836,NA,Journal of Molecular Biology,Hybrid,USD,2350,Freedom Collection
Academic Press,12614,Journal of Molecular and Cellular Cardiology,0022-2828,NA,Journal of Molecular and Cellular Cardiology,Hybrid,USD,2400,Freedom Collection
Academic Press,12077,Journal of Molecular Spectroscopy,0022-2852,NA,Journal of Molecular Spectroscopy,Hybrid,USD,1900,Freedom Collection
Academic Press,12078,Journal of Multivariate Analysis,0047-259X,NA,Journal of Multivariate Analysis,Hybrid,USD,2000,Freedom Collection
Academic Press,12653,Journal of Network and Computer Applications,1084-8045,Formerly known as Journal of Microcomputer Applications,Journal of Network and Computer Applications,Hybrid,USD,2400,Freedom Collection
Academic Press,12079,Journal of Number Theory,0022-314X,NA,Journal of Number Theory,Hybrid,USD,1500,Freedom Collection
Academic Press,12080,Journal of Parallel and Distributed Computing,0743-7315,NA,Journal of Parallel and Distributed Computing,Hybrid,USD,2400,Freedom Collection
Academic Press,12626,Journal of Phonetics,0095-4470,NA,Journal of Phonetics,Hybrid,USD,1100,Freedom Collection
Academic Press,12081,Journal of Research in Personality,0092-6566,NA,Journal of Research in Personality,Hybrid,USD,1800,Freedom Collection
Academic Press,12084,Journal of Solid State Chemistry,0022-4596,NA,Journal of Solid State Chemistry,Hybrid,USD,3050,Freedom Collection
Academic Press,12616,Journal of Sound and Vibration,0022-460X,NA,Journal of Sound and Vibration,Hybrid,USD,3300,Freedom Collection
Academic Press,12082,Journal of Structural Biology,1047-8477,Formerly known as Journal of Ultrastructure and Molecular Structure Research,Journal of Structural Biology,Hybrid,USD,2750,Freedom Collection
Academic Press,12083,Journal of Surgical Research,0022-4804,NA,Journal of Surgical Research,Hybrid,USD,3000,Freedom Collection
Academic Press,12654,Journal of Symbolic Computation,0747-7171,NA,Journal of Symbolic Computation,Hybrid,USD,1500,Freedom Collection
Academic Press,12617,Journal of Theoretical Biology,0022-5193,NA,Journal of Theoretical Biology,Hybrid,USD,2750,Freedom Collection
Academic Press,12085,Journal of Urban Economics,0094-1190,NA,Journal of Urban Economics,Hybrid,USD,1800,Freedom Collection
Academic Press,12087,Journal of Visual Communication and Image Representation,1047-3203,NA,Journal of Visual Communication and Image Representation,Hybrid,USD,2400,Freedom Collection
Academic Press,12682,Journal of Visual Languages & Computing,1045-926X,NA,Journal of Visual Languages and Computing,Hybrid,USD,1500,Freedom Collection
Academic Press,12086,Journal of Vocational Behavior,0001-8791,NA,Journal of Vocational Behavior,Hybrid,USD,1800,Freedom Collection
Academic Press,12088,Learning and Motivation,0023-9690,NA,Learning and Motivation,Hybrid,USD,1800,Freedom Collection
Academic Press,12618,LWT,0023-6438,NA,LWT,Hybrid,USD,3000,Freedom Collection
Academic Press,12677,Management Accounting Research,1044-5005,NA,Management Accounting Research,Hybrid,USD,1800,Freedom Collection
Academic Press,12661,Mechanical Systems and Signal Processing,0888-3270,NA,Mechanical Systems and Signal Processing,Hybrid,USD,2700,Freedom Collection
Academic Press,12089,Metabolic Engineering,1096-7176,NA,Metabolic Engineering,Hybrid,USD,3700,Freedom Collection
Academic Press,12092,Methods,1046-2023,Incorporating Neuroprotocols and ImmunoMethods,Methods,Hybrid,USD,3400,Freedom Collection
Academic Press,12658,Microbial Pathogenesis,0882-4010,NA,Microbial Pathogenesis,Hybrid,USD,3000,Freedom Collection
Academic Press,12094,Microvascular Research,0026-2862,NA,Microvascular Research,Hybrid,USD,3000,Freedom Collection
Academic Press,12091,Molecular and Cellular Neuroscience,1044-7431,NA,Molecular and Cellular Neuroscience,Hybrid,USD,2350,Freedom Collection
Academic Press,12664,Molecular and Cellular Probes,0890-8508,NA,Molecular and Cellular Probes,Hybrid,USD,2200,Freedom Collection
Academic Press,12016,Molecular Genetics and Metabolism,1096-7192,Formerly known as Biochemical and Molecular Medicine,Molecular Genetics and Metabolism,Hybrid,USD,2800,Freedom Collection
Academic Press,12093,Molecular Phylogenetics and Evolution,1055-7903,NA,Molecular Phylogenetics and Evolution,Hybrid,USD,4050,Freedom Collection
Academic Press,12095,Neurobiology of Disease,0969-9961,NA,Neurobiology of Disease,Hybrid,USD,3000,Freedom Collection
Academic Press,12098,Neurobiology of Learning and Memory,1074-7427,Formerly known as Behavioral and Neural Biology,Neurobiology of Learning and Memory,Hybrid,USD,3000,Freedom Collection
Academic Press,12097,NeuroImage,1053-8119,NA,NeuroImage,Hybrid,USD,3000,Freedom Collection
Academic Press,12099,Nitric Oxide,1089-8603,NA,Nitric Oxide,Hybrid,USD,3300,Freedom Collection
Academic Press,12096,Nuclear Data Sheets,0090-3752,Incorporating Nuclear Data Sheets. Section A and Nuclear Data Sheets. Section B,Nuclear Data Sheets,Hybrid,USD,2200,Freedom Collection
Academic Press,12101,Optical Fiber Technology,1068-5200,NA,Optical Fiber Technology,Hybrid,USD,2200,Freedom Collection
Academic Press,12100,Organizational Behavior and Human Decision Processes,0749-5978,Formerly known as Organizational Behavior and Human Performance,Organizational Behavior and Human Decision Processes,Hybrid,USD,1800,Freedom Collection
Academic Press,12105,Pesticide Biochemistry and Physiology,0048-3575,NA,Pesticide Biochemistry and Physiology,Hybrid,USD,3000,Freedom Collection
Academic Press,12676,Pharmacological Research,1043-6618,Formerly known as Pharmacological Research Communications,Pharmacological Research,Hybrid,USD,3700,Freedom Collection
Academic Press,12660,Physiological and Molecular Plant Pathology,0885-5765,Formerly known as Physiological Plant Pathology,Physiological and Molecular Plant Pathology,Hybrid,USD,2500,Freedom Collection
Academic Press,12106,Plasmid,0147-619X,NA,Plasmid,Hybrid,USD,3000,Freedom Collection
Academic Press,12107,Preventive Medicine,0091-7435,NA,Preventive Medicine,Hybrid,USD,2800,Freedom Collection
Academic Press,12104,Protein Expression and Purification,1046-5928,NA,Protein Expression and Purification,Hybrid,USD,3300,Freedom Collection
Academic Press,12687,Pulmonary Pharmacology & Therapeutics,1094-5539,Formerly known as Pulmonary Pharmacology,Pulmonary Pharmacology & Therapeutics,Hybrid,USD,3000,Freedom Collection
Academic Press,12110,Regulatory Toxicology and Pharmacology,0273-2300,NA,Regulatory Toxicology and Pharmacology,Hybrid,USD,2750,Freedom Collection
Academic Press,12688,Research in Economics,1090-9443,Formerly known as Ricerche Economiche,Research in Economics,Hybrid,USD,1200,Freedom Collection
Academic Press,12109,Review of Economic Dynamics,1094-2025,NA,Review of Economic Dynamics,Hybrid,USD,1100,Freedom Collection
Academic Press,12679,Seminars in Cancer Biology,1044-579X,NA,Seminars in Cancer Biology,Hybrid,USD,3200,Freedom Collection
Academic Press,12675,Seminars in Cell & Developmental Biology,1084-9521,Formerly known as Seminars in Cell Biology; Incorporating Seminars in Developmental Biology,Seminars in Cell and Developmental Biology,Hybrid,USD,3900,Freedom Collection
Academic Press,12678,Seminars in Immunology,1044-5323,NA,Seminars in Immunology,Hybrid,USD,3800,Freedom Collection
Academic Press,12113,Social Science Research,0049-089X,NA,Social Science Research,Hybrid,USD,1800,Freedom Collection
Academic Press,12878,Solid State Nuclear Magnetic Resonance,0926-2040,NA,Solid State Nuclear Magnetic Resonance,Hybrid,USD,3300,Freedom Collection
Academic Press,12657,Superlattices and Microstructures,0749-6036,NA,Superlattices and Microstructures,Hybrid,USD,2500,Freedom Collection
Academic Press,12117,Theoretical Population Biology,0040-5809,NA,Theoretical Population Biology,Hybrid,USD,2200,Freedom Collection
Academic Press,12116,Toxicology and Applied Pharmacology,0041-008X,NA,Toxicology and Applied Pharmacology,Hybrid,USD,3700,Freedom Collection
Academic Press,12119,Virology,0042-6822,NA,Virology,Hybrid,USD,2350,Freedom Collection
BailliËre Tindall,12666,Best Practice & Research Clinical Anaesthesiology,1521-6896,Formerly known as BailliËre's Clinical Anaesthesiology,Best Practice & Research Clinical Anaesthesiology,Hybrid,USD,2500,Freedom Collection
BailliËre Tindall,12667,Best Practice & Research Clinical Endocrinology & Metabolism,1521-690X,Formerly known as BailliËre's Clinical Endocrinology and Metabolism,Best Practice & Research Clinical Endocrinology & Metabolism,Hybrid,USD,2500,Freedom Collection
BailliËre Tindall,12668,Best Practice & Research Clinical Gastroenterology,1521-6918,Formerly known as BailliËre's Clinical Gastroenterology,Best Practice & Research Clinical Gastroenterology,Hybrid,USD,2500,Freedom Collection
BailliËre Tindall,12669,Best Practice & Research Clinical Haematology,1521-6926,Formerly known as BailliËre's Clinical Haematology,Best Practice & Research Clinical Haematology,Hybrid,USD,2000,Freedom Collection
BailliËre Tindall,12670,Best Practice & Research Clinical Obstetrics & Gynaecology,1521-6934,Formerly known as BailliËre's Clinical Obstetrics and Gynaecology,Best Practice & Research Clinical Obstetrics & Gynaecology,Hybrid,USD,2500,Freedom Collection
BailliËre Tindall,12671,Best Practice & Research Clinical Rheumatology,1521-6942,Formerly known as BailliËre's Clinical Rheumatology,Best Practice & Research Clinical Rheumatology,Hybrid,USD,2500,Freedom Collection
Biomedical and Environmental Sciences,06074,Biomedical and Environmental Sciences,0895-3988,NA,Biomedical and Environmental Sciences,Hybrid,USD,0,not included
Cell Press,07813,The American Journal of Human Genetics,0002-9297,NA,The American Journal of Human Genetics,Hybrid,USD,5000,not included
Cell Press,13437,Biophysical Journal,0006-3495,NA,Biophysical Journal,Hybrid,USD,1800,not included
Cell Press,07595,Cancer Cell,1535-6108,NA,Cancer Cell,Hybrid,USD,5200,not included
Cell Press,07590,Cell,0092-8674,NA,Cell,Hybrid,USD,5200,not included
Cell Press,02215,Cell Chemical Biology†,2451-9456,Formerly known as Chemistry & Biology,Cell Chemical Biology,Hybrid,USD,5200,not included
Cell Press,07703,Cell Host & Microbe,1931-3128,NA,Cell Host & Microbe,Hybrid,USD,5200,not included
Cell Press,13368,Cell Metabolism,1550-4131,NA,Cell Metabolism,Hybrid,USD,5200,not included
Cell Press,14108,Cell Reports,2211-1247,NA,Cell Reports,Open Access,USD,5000,not included
Cell Press,07704,Cell Stem Cell,1934-5909,NA,Cell Stem Cell,Hybrid,USD,5200,not included
Cell Press,18800,Cell Systems,2405-4712,NA,Cell Systems,Hybrid,USD,5200,not included
Cell Press,18875,Chem,2451-9294,NA,NA,NA,NA,NA,not included
Cell Press,02216,Current Biology,0960-9822,NA,Current Biology,Hybrid,USD,5200,not included
Cell Press,07594,Developmental Cell,1534-5807,NA,Developmental Cell,Hybrid,USD,5200,not included
Cell Press,07591,Immunity,1074-7613,NA,Immunity,Hybrid,USD,5200,not included
Cell Press,18907,Joule,2542-4351,NA,NA,NA,NA,NA,not included
Cell Press,07592,Molecular Cell,1097-2765,NA,Molecular Cell,Hybrid,USD,5200,not included
Cell Press,18762,Molecular Plant,1674-2052,NA,Molecular Plant,Hybrid,USD,2800,Freedom Collection
Cell Press,12877,Molecular Therapy,1525-0016,NA,Molecular Therapy,Hybrid,USD,3200,not included
Cell Press,18892,Molecular Therapy - Methods & Clinical Development,2329-0501,NA,Molecular Therapy - Methods & Clinical Development,Open Access,USD,3200,not included
Cell Press,18891,Molecular Therapy - Nucleic Acids,2162-2531,NA,Molecular Therapy - Nucleic Acids,Open Access,USD,3200,not included
Cell Press,07593,Neuron,0896-6273,NA,Neuron,Hybrid,USD,5200,not included
Cell Press,12126,Stem Cell Reports,2213-6711,NA,Stem Cell Reports,Open Access,USD,3500,not included
Cell Press,02218,Structure,0969-2126,Incorporating Folding and Design,Structure,Hybrid,USD,5200,not included
Cell Press,18835,Trends in Cancer,2405-8033,NA,Trends in Cancer,Hybrid,USD,3800,not included
Churchill Livingstone,12724,Blood Reviews,0268-960X,NA,Blood Reviews,Hybrid,USD,3000,Freedom Collection
Churchill Livingstone,12725,The Breast,0960-9776,NA,The Breast,Hybrid,USD,3100,Freedom Collection
Churchill Livingstone,12726,British Journal of Oral and Maxillofacial Surgery,0266-4356,Formerly known as British Journal of Oral Surgery,British Journal of Oral & Maxillofacial Surgery,Hybrid,USD,3300,Freedom Collection
Churchill Livingstone,12711,Cell Calcium,0143-4160,NA,NA,NA,NA,NA,Freedom Collection
Churchill Livingstone,12713,Clinical Nutrition,0261-5614,Incorporating Clinical Nutrition Supplements,Clinical Nutrition,Hybrid,USD,2500,Freedom Collection
Churchill Livingstone,12742,Complementary Therapies in Clinical Practice,1744-3881,Formerly known as Complementary Therapies in Nursing and Midwifery,Complementary Therapies in Clinical Practice,Hybrid,USD,2500,Freedom Collection
Churchill Livingstone,12741,Complementary Therapies in Medicine,0965-2299,NA,Complementary Therapies in Medicine,Hybrid,USD,2100,Freedom Collection
Churchill Livingstone,12714,Diagnostic Histopathology,1756-2317,Formerly known as Current Diagnostic Pathology,Diagnostic Histopathology,Hybrid,USD,3000,Freedom Collection
Churchill Livingstone,12758,Drug Resistance Updates,1368-7646,NA,Drug Resistance Updates,Hybrid,USD,3000,Freedom Collection
Churchill Livingstone,12746,European Journal of Oncology Nursing,1462-3889,Formerly known as Journal of Cancer Nursing,European Journal of Oncology Nursing,Hybrid,USD,2500,Freedom Collection
Churchill Livingstone,12743,The Foot,0958-2592,NA,The Foot,Hybrid,USD,2500,Freedom Collection
Churchill Livingstone,12770,Growth Hormone & IGF Research,1096-6374,NA,Growth Hormone & IGF Research,Hybrid,USD,2500,Freedom Collection
Churchill Livingstone,12744,Intensive and Critical Care Nursing,0964-3397,Formerly known as Intensive Care Nursing,Intensive & Critical Care Nursing,Hybrid,USD,2500,Freedom Collection
Churchill Livingstone,12738,International Emergency Nursing,1755-599X,Formerly known as Accident & Emergency Nursing,International Emergency Nursing,Hybrid,USD,2500,Freedom Collection
Churchill Livingstone,12733,International Journal of Obstetric Anesthesia,0959-289X,NA,International Journal of Obstetric Anesthesia,Hybrid,USD,2500,Freedom Collection
Churchill Livingstone,12901,International Journal of Oral and Maxillofacial Surgery,0901-5027,Formerly known as International Journal of Oral Surgery,International Journal of Oral & Maxillofacial Surgery,Hybrid,USD,3300,Freedom Collection
Churchill Livingstone,12748,International Journal of Orthopaedic and Trauma Nursing,1878-1241,Formerly known as Journal of Orthopaedic Nursing,International Journal of Orthopaedic and Trauma Nursing,Hybrid,USD,1700,Freedom Collection
Churchill Livingstone,13133,The Journal of Arthroplasty,0883-5403,NA,The Journal of Arthroplasty,Hybrid,USD,2900,Freedom Collection
Churchill Livingstone,12745,Journal of Bodywork and Movement Therapies,1360-8592,NA,Journal of Bodywork & Movement Therapies,Hybrid,USD,2500,Freedom Collection
Churchill Livingstone,13271,Journal of Cardiac Failure,1071-9164,NA,Journal of Cardiac Failure,Hybrid,USD,2500,Freedom Collection
Churchill Livingstone,12716,Journal of Clinical Neuroscience,0967-5868,NA,Journal of Clinical Neuroscience,Hybrid,USD,2500,Freedom Collection
Churchill Livingstone,12735,Journal of Cranio-Maxillofacial Surgery,1010-5182,Formerly known as Journal of Maxillofacial Surgery,Journal of Cranio-Maxillo-Facial Surgery,Hybrid,USD,3300,Freedom Collection
